name,id,class,mass,fall,year,latitude,longitude,class_cat
Limerick,14652,H5,50.0,Fell,1813,52.56667,-8.78333,Stony Meteorites - Chondrites
Zagora,30387,"Iron, IAB-ung",50.0,Found,1987,30.36667,-5.85,Iron Meteorites - Category I
Northwest Africa 6903,53891,"Iron, IIIAB",50.0,Found,2008,32.37167,-6.36,Iron Meteorites - Category I
Northwest Africa 5775,49455,LL5,50.0,Found,2006,0.0,0.0,Stony Meteorites - Chondrites
Aumale,4899,L6,50.0,Fell,1865,36.16667,3.66667,Stony Meteorites - Chondrites
Ausson,4903,L5,50.0,Fell,1858,43.08333,0.58333,Stony Meteorites - Chondrites
Krymka,12364,LL3.2,50.0,Fell,1946,47.83333,30.76667,Stony Meteorites - Chondrites
Nuevo Mercurio,17938,H5,50.0,Fell,1978,24.3,-102.13333,Stony Meteorites - Chondrites
Jiddat al Harasis 342,45866,L5,49.75,Found,2006,19.71458,56.54755,Stony Meteorites - Chondrites
Hraschina,11916,"Iron, IID",49.0,Fell,1751,46.1,16.33333,Iron Meteorites - Category II
Mapleton,15410,"Iron, IIIAB",49.0,Found,1939,42.18333,-95.71667,Iron Meteorites - Category I
Agua Blanca,397,"Iron, IIIAB",49.0,Found,1938,-28.91667,-66.95,Iron Meteorites - Category I
Thule,23977,"Iron, IIIAB",48.6,Found,1955,76.53333,-67.55,Iron Meteorites - Category I
Bear Lodge,4983,"Iron, IIIAB",48.5,Found,1931,44.5,-104.2,Iron Meteorites - Category I
Cabin Creek,5186,"Iron, IIIAB",48.5,Fell,1886,35.5,-93.5,Iron Meteorites - Category I
Crab Orchard,5461,Mesosiderite-A1,48.5,Found,1887,35.83333,-84.91667,Stony-Iron Meteorites - Mesosiderites
Bischtübe,5057,"Iron, IAB-sLL",48.25,Found,1888,51.95,62.2,Iron Meteorites - Category I
Woodbine,24330,"Iron, IAB-ung",48.2,Found,1953,42.34667,-90.1675,Iron Meteorites - Category I
Bagnone,4921,"Iron, IIIAB",48.0,Found,1904,44.31667,9.98333,Iron Meteorites - Category I
Jackalsfontein,12065,L6,48.0,Fell,1903,-32.5,21.9,Stony Meteorites - Chondrites
Sukhoj Liman,23739,H4/5,48.0,Found,1987,46.4,30.8,Stony Meteorites - Chondrites
Dresden (Ontario),7731,H6,47.7,Fell,1939,42.52,-82.26,Stony Meteorites - Chondrites
Red Rock,22549,"Iron, IIIAB",47.6,Found,1976,35.41667,-117.91667,Iron Meteorites - Category I
Roy (1933),22774,L5,47.2,Found,1933,35.95,-104.2,Stony Meteorites - Chondrites
Gomez,10944,L6,47.0,Found,1974,33.18139,-102.40139,Stony Meteorites - Chondrites
Rancho de la Pila (1882),22389,"Iron, IIIAB",46.5,Found,1882,24.11667,-104.3,Iron Meteorites - Category I
Lakewood,12450,L6,46.5,Found,1955,32.62972,-104.35,Stony Meteorites - Chondrites
Cuero,5493,H5,46.5,Found,1936,29.01667,-97.28333,Stony Meteorites - Chondrites
Harrisonville,11844,L6,46.5,Found,1933,38.65,-94.33333,Stony Meteorites - Chondrites
Osseo,18037,"Iron, IAB complex",46.3,Found,1931,47.63333,-80.08333,Iron Meteorites - Category I
Jiddat al Harasis 203,45839,Mesosiderite-C2,46.2,Found,2002,19.983,56.41368,Stony-Iron Meteorites - Mesosiderites
Dumas (a),7741,H5,46.05,Found,1956,35.9,-101.9,Stony Meteorites - Chondrites
Linwood,14657,"Iron, IAB-MG",46.0,Found,1940,41.43333,-96.96667,Iron Meteorites - Category I
Asuka 87251,2608,LL6,46.0,Found,1987,-72.0,26.0,Stony Meteorites - Chondrites
Peace River,18180,L6,45.76,Fell,1963,56.13333,-117.93333,Stony Meteorites - Chondrites
Woodward County,24333,H4,45.5,Found,1923,36.5,-99.5,Stony Meteorites - Chondrites
Northwest Africa 7150,54902,H4,45.326,Found,2011,0.0,0.0,Stony Meteorites - Chondrites
Thuathe,23976,H4/5,45.3,Fell,2002,-29.33333,27.58333,Stony Meteorites - Chondrites
Needles,16936,"Iron, IID",45.3,Found,1962,34.44417,-114.8325,Iron Meteorites - Category II
Kyushu,12390,L6,45.0,Fell,1886,32.03333,130.63333,Stony Meteorites - Chondrites
La Criolla,12396,L6,45.0,Fell,1985,-31.23333,-58.16667,Stony Meteorites - Chondrites
Hammadah al Hamra 173,11656,L6,45.0,Found,1996,28.63667,13.1965,Stony Meteorites - Chondrites
Vyatka,24193,H4,45.0,Found,1991,57.53333,49.0,Stony Meteorites - Chondrites
Sandia Mountains,23156,"Iron, IIAB",45.0,Found,1925,35.25,-106.5,Iron Meteorites - Category I
Dhajala,6698,H3.8,45.0,Fell,1976,22.37778,71.42722,Stony Meteorites - Chondrites
Marjalahti,15426,"Pallasite, PMG",45.0,Fell,1902,61.5,30.5,Stony-Iron Meteorites - Pallasites
Wellman (c),24239,H4,45.0,Found,1964,33.03333,-102.33333,Stony Meteorites - Chondrites
Kuttippuram,12384,L6,45.0,Fell,1914,10.83333,76.03333,Stony Meteorites - Chondrites
Bensour,5024,LL6,45.0,Fell,2002,30.0,-7.0,Stony Meteorites - Chondrites
Dhofar 1433,45837,H5,44.79,Found,2006,18.43333,54.1,Stony Meteorites - Chondrites
Saginaw,22797,Iron,44.5,Found,1979,32.86583,-97.32306,Other Categories
Beenham,4995,L5,44.4,Found,1937,36.21667,-103.65,Stony Meteorites - Chondrites
Northwest Africa 5460,49176,H4,44.4,Found,2006,0.0,0.0,Stony Meteorites - Chondrites
Kelly,12273,LL4,44.3,Found,1937,40.46667,-103.03333,Stony Meteorites - Chondrites
Zemaitkiemis,30399,L6,44.1,Fell,1933,55.3,25.0,Stony Meteorites - Chondrites
Rodeo,22643,"Iron, IID",44.0,Found,1852,25.33333,-104.66667,Iron Meteorites - Category II
Dix,7651,L6,44.0,Found,1927,41.23333,-103.48333,Stony Meteorites - Chondrites
Barwell,4954,L5,44.0,Fell,1965,52.56528,-1.33972,Stony Meteorites - Chondrites
Horh Uul,11909,"Iron, IIIAB",44.0,Found,2001,43.25,104.16667,Iron Meteorites - Category I
Ust-Nyukzha,24133,"Iron, IAB complex",44.0,Found,1992,56.38333,120.46667,Iron Meteorites - Category I
